Name,Disaster,Begin Date,End Date,CPI-Adjusted Cost,Unadjusted Cost,Deaths,Summary
Hurricane Florence (September 2018),Tropical Cyclone,20180913,20180916,30000,24000,53,"Hurricane Florence was a large and very slow moving hurricane that produced extreme rainfall across eastern North Carolina (up to 35.93) and South Carolina (up to 23.81), as prodigious amounts of rainfall were common in many locations. Florence made landfall as a category 1, at Wrightsville Beach, NC with damaging storm surge up to 10 feet and wind gusts reported over 100 mph. However, the majority of the damage caused by Florence was due to the rainfall inland, which caused many rivers to surpass previous record flood heights. U.S. Marine base Camp Lejeune in North Carolina suffered extensive damage that will cost billions to repair. The total damage from Florence in North Carolina is more than the cost experienced during Hurricane Matthew (2016) and Hurricane Floyd (1999) combined."
Hurricane Michael (October 2018),Tropical Cyclone,20181010,20181011,30969,24975,49,"Powerful category 5 hurricane made landfall at Mexico Beach, Florida with devastating winds of 160 mph and storm surge in excess of 15 feet. Mexico Beach was nearly destroyed, while Panama City suffered extensive damage. Florida's Tyndall Air Force Base also suffered a direct strike from Michael's most intense eye wall winds causing billions in damage costs. Michael's intense winds also reached well inland causing billions in damage costs to agriculture and forestry, as high winds hit during harvest season for numerous crops across several states. Michael is the third category 4 or higher storm to make landfall in the U.S. since 2017. Michael is the first category 5 to strike the U.S. mainland since Hurricane Andrew in 1992 and is only the fourth on record. The others are the Labor Day Hurricane (1935) and Hurricane Camille (1969). Michael was initially rated as a category 4 with 155 winds but upgraded to a category 5 with 160 mph winds upon further analysis."
Southwest/Southern Plains Drought (Summer-Fall 2018),Drought,20180601,20181230,3797.4,2990,0,"Drought conditions were present across numerous Southwestern and Plains states (TX, OK, KS, MO, CO, NM, AZ, UT). The most extreme drought conditions continue to persist across the Four Corners region of the Southwest. The agriculture sector has been impacted across the affected states including damage to field crops from lack of rainfall. Ranchers have also be forced to sell-off livestock early in some regions due to high feeding costs."
"Western Wildfires, California Firestorm (Summer-Fall 2018)",Wildfire,20180601,20181231,30000,24000,106,"In 2018, California has experienced its costliest, deadliest and largest wildfires to date, with records back to 1933. The Camp Fire is the costliest and deadliest wildfire - destroying more than 18,500 buildings. California also endured its largest wildfire on record - the Medincino Complex Fire - burning over 450,000 acres. Additionally, California was impacted by other destructive wildfires: the Carr Fire in Northern California and the Woolsey Fire in Southern California. The total 2018 wildfire costs in California (with minor costs in other Western states) approach $24.0 ($30.0) billion - a new U.S. record. In total, over 8.7 million acres has burned across the U.S. during 2018, which is well above the 10-year average (2009-2018) of 6.8 million acres. The last 2 years of U.S. wildfire damage has been unprecedented in damage, with losses exceeding $40.0 ($50.0) billion."
"Southeast, Ohio Valley and Northeast Severe Weather (February 2019)",Severe Storm,20190223,20190225,1534.3,1237.5,2,"Tornadoes, severe weather and flooding in the south (MS, AL, TN) and high-wind damage across many Ohio Valley (IL, IN, OH) and Northeastern states (CT, MD, MA, NJ, NY, PA, VA, WV). This storm system produced heavy rain that caused major flooding along parts of the Ohio, Mississippi and Tennessee rivers."
Texas Hail Storm (March 2019),Severe Storm,20190322,20190324,1903.4,1535,0,"Texas hail storm over the Dallas metroplex damaged many homes, businesses and vehicles. Oklahoma also received hail damage resulting from the same severe weather system."
Missouri River and North Central Flooding (March 2019),Flooding,20190314,20190331,13408.9,10727,3,"Historic Midwest flooding inundated millions of acres of agriculture, numerous cities and towns, and caused widespread damage to roads, bridges, levees, and dams. The states most affected were Nebraska, Iowa, Missouri, South Dakota, Minnesota, North Dakota, Wisconsin and Michigan. This flood was triggered by a powerful storm with heavy precipitation that intensified snow melt and flooding. Of note, the Offutt Air Force Base in Nebraska was also severely flooded - the third U.S. military base to be damaged by a billion-dollar disaster event over a 6-month period (Sept 2018-Feb 2019). This historic flooding was one of the costliest U.S. inland flooding events on record."
Southern and Eastern Tornadoes and Severe Weather (April 2019),Severe Storm,20190413,20190414,1540,1252,7,"Tornado outbreak and severe storms impacted many states (TX, LA, MS, AL, GA, NC, OH and PA). More than 50 tornadoes occurred across central Mississippi and Alabama causing damage to vehicles, homes and businesses. More than 25 additional tornadoes also caused damage across several eastern states from Georgia to Pennsylvania. These severe storms also delivered damaging hail and high wind damage that was widespread across many Southern and and Eastern states."
South and Southeast Severe Weather (May 2019),Severe Storm,20190507,20190513,1862.4,1514,0,"Persistent severe storms impacted numerous states from Texas to North Carolina (TX, OK, KS, AR, LA, MS, AL, NC). Tornadoes and damaging hail particularly affected Texas, Louisiana and North Carolina focused across the Raleigh metro region."
Central Severe Weather (May 2019),Severe Storm,20190516,20190518,1196.9,973,0,"Central severe storms across the Illinois, Indiana, Iowa and Texas damaged many homes, businesses and vehicles."
"Rockies, Central and Northeast Tornadoes and Severe Weather (May 2019)",Severe Storm,20190526,20190529,5655.6,4598,3,"A four-day tornado outbreak impacts many states across the Rockies, Central and Northeast (CO, WY, NE, KS, OK, MO, IA, IL, IN, OH, PA and NJ). This outbreak produced 190 tornadoes in addition to hundreds of reports of damaging hail and straight-line thunderstorm winds. Of particular note was an EF-4 tornado that produced heavy damage near the city of Dayton, Ohio on May 27."
Arkansas River Flooding (June 2019),Flooding,20190520,20190614,3720.8,3025,5,"Historic flooding impacts the Arkansas River Basin with damage to homes, agriculture, roads, bridges and levees focused across eastern Oklahoma and western Arkansas. Thousands of homes, cars and businesses were flooded due a combination of high rivers, levee failure and persistently heavy rainfall from May 20 through June."
Colorado Hail Storms (July 2019),Severe Storm,20190704,20190705,1239.8,1008,0,Colorado hail storms across the Denver and Fort Collins that damaged many homes and vehicles.
"Mississippi River, Midwest and Southern Flooding (July 2019)",Flooding,20190315,20190731,7649.6,6169,4,"Additional major flooding impacted many Southern Plains states significantly affecting agriculture, roads, bridges, levees, dams and other assets across many cities and towns. The states most affected were Oklahoma, Nebraska, Missouri, Illinois, Kansas, Arkansas, Kentucky, Tennessee, Texas, Mississippi and Louisiana. Very high water levels also disrupted barge traffic along the Mississippi River, which negatively impacted a variety of dependent industries. Indiana and Ohio were also affected by persistent heavy rainfall that flooded farmland, which prevented and reduced crop planting by millions of acres."
Hurricane Dorian (September 2019),Tropical Cyclone,20190828,20190906,1980.3,1610,10,"Category 1 hurricane makes landfall on the Outer Banks of North Carolina, after devastating the northern Bahama Islands as a historically-powerful and slow-moving hurricane. Dorian tracked offshore parallel to the Florida, Georgia and South Carolina coastline before making a North Carolina landfall, bringing a destructive sound-side surge that inundated many coastal properties and isolated residents who did not evacuate. Significant flood, severe storm, and tornado damage to many homes and businesses occurred on the Outer Banks of North Carolina. Dorian's intensification to a category 5 storm marks the fourth consecutive year, in which a maximum category 5 storm developed in the Atlantic basin - a new record. Dorian also tied the record for maximum sustained wind speed for a landfalling hurricane (185 mph) in the Atlantic, a record shared with the historic 1935 Labor Day Hurricane."
Tropical Storm Imelda (September 2019),Tropical Cyclone,20190917,20190921,6150,5000,5,"Tropical storm and its remnants cause 24 to 36 inches of rainfall over a 3-day period across a large area between Houston and Beaumont, Texas. The largest storm total, 43.39 inches, was reported at North Fork Taylors Bayou, Texas. Many thousands of homes, cars and businesses were impacted by flood water due to this extraordinarily heavy rainfall. Imelda is yet another of the historically extreme rainfall and flood events that have become a regular occurrence across Southeast Texas over the last 5 years."
Texas Tornadoes and Central Severe Weather (October 2019),Severe Storm,20191020,20191020,2095.9,1718,2,"Numerous tornadoes caused widespread damage across northern Dallas damaging thousands of homes, vehicles, businesses and other public infrastructure. Tornadoes up to EF-3 intensity with maximum winds of 140 mph tracked across a large section of highly developed northern Dallas. Additionally high winds and hail damage also caused damage in other states including Oklahoma, Missouri, Arkansas, Louisiana and Tennessee."
California and Alaska Wildfires (Summer-Fall 2019),Wildfire,20190601,20191130,5535,4500,3,"California experienced a damaging wildfire season in 2019, largely resulting from the Kincade and Saddle Ridge wildfires. In addition, a key California electrical utility provider turned off power to millions of homes and businesses several times during days with forecasted high winds and extremely dry conditions. This step was designed to minimize wildfires, with some success, but it also caused billions of dollars in losses to those affected. Alaska also suffered a near-historic wildfire season with more than 2.5 million acres burned. These wildfire conditions were primed due to Alaska's record-breaking heat and dry conditions during the summer months. July 2019 was the warmest month ever recorded in Alaska."
Southeast Tornadoes and Northern Storms and Flooding (January 2020),Severe Storm,20200110,20200112,1401.8,1149,10,"More than 80 tornadoes and severe storms caused damage across many southeastern states (AL, AR, GA, IL, IN, KY, LA, MS, MO, NC, OH, SC, TN, TX, VA, WI). Storms and severe flooding also impacted northern states including Michigan, Wisconsin and New York. Significant damage occurred along the shoreline of Lake Michigan to roads, the foundation of homes and to Port Milwaukee. These powerful waves were generated by high winds and a lack of seasonal ice cover."
"South, East and Northeast Severe Weather (February 2020)",Severe Storm,20200205,20200207,1532.2,1256,3,"Severe weather across many South, East and Northeastern states including AL, FL, GA, SC, LA, MS, TN, NC, VA, PA, RI, NY, NJ, MD and MA. There were more than 20 tornadoes clustered across central Mississippi into Tennessee. There were also hundreds of high wind damage reports from Florida to New Jersey, with the Carolinas and Florida receiving the most costly damage."
Tennessee Tornadoes and Southeast Severe Weather (March 2020),Severe Storm,20200302,20200304,2850,2336,25,"Powerful EF-3 and EF-4 tornadoes cause considerable damage across the Nashville metroplex and several counties east of Nashville. This damage included many homes, businesses, vehicles, 90 planes and numerous buildings at the Nashville airport. There was also additional hail and wind damage in the surrounding states including Alabama, Kentucky, Mississippi and Missouri."
Midwest and Ohio Valley Severe Weather (March 2020),Severe Storm,20200327,20200328,3120.9,2558,0,"Severe weather caused damage across many Midwest and Ohio Valley states including Missouri, Oklahoma, Texas, Illinois, Indiana, Ohio, Arkansas, Kentucky, Tennessee, West Virginia and Pennsylvania. The states most affected from a combination of high winds and hail were Missouri, Ohio and Arkansas. There were also two dozen tornadoes across Iowa, Illinois, Indiana and Arkansas causing additional damage."
North Central and Ohio Valley Hail Storms and Severe Weather (April 2020),Severe Storm,20200407,20200408,3543.9,2881,0,"Numerous hail storms caused widespread damage across many North Central and Ohio Valley states including Illinois, Iowa, Indiana, Ohio, Michigan, Wisconsin and Missouri. More than 20 tornadoes were also reorted across southern Indiana and Ohio. There was additional widespread high wind damage to homes, vehicles and businesses in many other surrounding states."
Southeast and Eastern Tornado Outbreak (April 2020),Severe Storm,20200412,20200413,4236.2,3444,35,"Outbreak of at least 140 tornadoes from Texas to Maryland including 3 EF4s, 12 EF3s, 20 EF2s, 77 EF1s and 28 EF0s. Damage was extensive and highly destructive to many homes, vehicles and businesses across more than a dozen Southeast and Eastern states."
Southern Severe Weather (April 2020),Severe Storm,20200421,20200423,1660.6,1350,3,"Severe weather caused damage across many Southern states. The states most affected from a combination of high winds, hail and tornadoes included Texas, Oklahoma, Louisiana, Mississippi, Alabama, Georgia, Florida and Virginia. The states with the highest damage totals for the event were Oklahoma, Louisiana and Texas."
"Central, Southern and Eastern Severe Weather (April 2020)",Severe Storm,20200427,20200430,1263.3,1027,1,"Severe weather across many Central, Southern and Eastern states produced primarily large hail and high winds that caused widespread damage to many homes, vehicles and businesses. The states affected included Oklahoma, Texas, Missouri, Arkansas, Louisiana, Virginia, Pennsylvania, Maryland, Delaware and New Jersey."
Central and Eastern Severe Weather (May 2020),Severe Storm,20200503,20200505,2598.9,2113,2,"Severe weather across several Central and Eastern states including Kansas, Missouri, Arkansas, Tennessee and South Carolina. High wind and hail damage was notably clustered across southern Missouri and western to central Tennessee, which were the states with the highest damage totals for the event."
"South, Central and Eastern Severe Weather (May 2020)",Severe Storm,20200520,20200523,1948.6,1584,2,"A combination of thunderstorm high winds, hail and tornadoes affected numerous Southern, Central and Eastern states. The states most affected included Texas, Illinois and North Carolina with damage to homes, businesses and vehicles. Oklahoma, Arkansas, Indiana, Tennessee, Alabama, Georgia, Florida and South Carolina."
South Texas Hail Storms (May 2020),Severe Storm,20200527,20200527,1722,1400,0,"South Texas hail storms cause widespread impact to several cities with golf-ball sized hail damaging many homes, vehicles and businesses. The highest concentration of hail damage occurred across the northern portion of the San Antonio metroplex. There was also significant damage east of San Marcos, southeast of Waco and to the west and south of Bryan and College Station."
Central Severe Weather (July 2020),Severe Storm,20200710,20200711,1447.4,1196,0,"Central severe weather producing hundreds of severe hail and high wind reports across numerous states including Nebraska, South Dakota, Minnesota, Kansas, Oklahoma, Iowa, Illinois and Indiana. These storms caused impacts to many homes, vehicles and businesses."
Hurricane Hanna (July 2020),Tropical Cyclone,20200725,20200726,1300.8,1075,0,"Category 1 Hurricane Hanna made landfall at Padre Island, Texas on July 25 with sustained winds of 90 miles per hour. The impacts from wind, wave action and flooding were most notable in damaging coastal infrastructure and to the agriculture sector. The crop damage was most focused across the Rio Grande Valley in southern Texas."
Hurricane Isaias (August 2020),Tropical Cyclone,20200803,20200804,5756.1,4757,16,"Hurricane Isaias made landfall in southeastern North Carolina as a category 1 storm. Isaias accelerated up the East Coast, resulting in widespread damage and power outages across New York, New Jersey and Pennsylvania. There was also considerable inland flooding most notably in Pennsylvania. In addition, 34 tornadoes developed across North Carolina, Virginia, Maryland, Delaware and New Jersey due to Isaias. Many tornadoes were weaker (EF-0 and EF-1) producing scattered damage to agriculture, structures and residences. Isaias also produced several EF-2 tornadoes and one EF-3 tornado that caused damage in coastal North Carolina and Virginia."
Central Severe Weather - Derecho (August 2020),Severe Storm,20200810,20200810,13342.7,11027,4,"A powerful derecho traveled from southeast South Dakota to Ohio, a path of 770 miles in 14 hours producing widespread winds greater than 100 mph. The states most affected included Iowa, Illinois, Minnesota, Indiana and Ohio. This derecho caused widespread damage to millions of acres of corn and soybean crops across central Iowa. There was also severe damage to homes, businesses and vehicles particularly in Cedar Rapids, Iowa. In addition, there were 15 tornadoes across northeastern Illinois several affecting the Chicago metropolitan area. This is the third severe weather event (since 1980) with inflation-adjusted costs over $10.0 ($12.1) billion joining the late-April and May 2011 tornado outbreaks across the Southeastern and Central states, respectively."
Hurricane Laura (August 2020),Tropical Cyclone,20200827,20200828,28090.3,23215,42,"Hurricane Laura was a powerful category 4 that made landfall at Cameron Parish, in southwestern Louisiana on August 27. Winds up to 150 mph and storm surge in excess of 15 feet caused heavy damage along the coast and inland to the city of Lake Charles. Many broken water systems and a severely damaged electrical grid in southern Louisiana will slow the recovery process. Laura was the strongest hurricane (by maximum sustained windspeed at landfall) to hit Louisiana since the 1856 Last Island hurricane. Laura also had highest landfall wind speed to impact the U.S. since Hurricane Michael in 2018. There were additional impacts to surrounding states including Texas, Mississippi and Arkansas."
Hurricane Sally (September 2020),Tropical Cyclone,20200915,20200917,8801.5,7274,5,"Hurricane Sally was a category 2 hurricane at landfall in Gulf Shores, Alabama. Wind gusts up to 100 mph and 20-30 inches of rainfall caused considerable flood and wind damage across Alabama, the Florida panhandle and into Georgia. Many homes and businesses in downtown Pensacola, FL were impacted from flooding produced by storm surge and heavy rainfall. 2020 is now the fourth consecutive year (2017-2020) that the U.S. has been impacted by a slow moving tropical cyclone that produced extreme rainfall and damaging floods - Harvey, Florence, Imelda and Sally."
Hurricane Delta (October 2020),Tropical Cyclone,20201009,20201011,3469.3,2867,5,"Hurricane Delta was a category 2 hurricane that made landfall near Creole, Louisiana with winds of 100 mph on October 9. This was nearly the same location in which category 4 Hurricane Laura made landfall 6 weeks prior. Heavy rainfall, high winds, storm surge, and nearly one dozen EF-0 or EF-1 tornadoes caused damage across several states including Louisiana, eastern Texas, Mississippi and Georgia."
Hurricane Zeta (October 2020),Tropical Cyclone,20201028,20201029,5266,4352,6,"Hurricane Zeta was a category 2 hurricane that made landfall at Cocodrie, Louisiana with maximum sustained winds of 110 mph on October 28th. Zeta's path inland saw an acceleration of its quick landfall speed to nearly 40 mph, which allowed the wind fields to maintain some strength. These wind impacts propagated well inland affecting parts of Louisiana, Alabama, Mississippi, northern Georgia and into the Carolinas. Hurricane Zeta was the fifth tropical cyclone to make landfall in Louisiana during 2020 as part of a historically active Atlantic hurricane season."
Tropical Storm Eta (November 2020),Tropical Cyclone,20201108,20201112,1766.7,1460,12,"Tropical Storm Eta made landfall in the Florida Keys on November 8 followed by a second landfall near Cedar Key on the west coast of Florida on November 10. Eta produced wind and heavy rain impacts in southern Florida. These impacts continued well inland, as Eta's energy merged with a cold front across several eastern states. This combination produced extreme rainfall across North Carolina and Virginia, which led to significant flooding that damaged homes, businesses and infrastructure. This flooding also caused one dozen fatalities."
"Western Wildfires - California, Oregon, Washington Firestorms (Fall 2020)",Wildfire,20200801,20201230,19904.5,16450,46,"Widespread, continuous drought and record heat affected more than a dozen Western and Central states for much of the summer, fall and into the winter months. Persistent above-average temperatures and precipitation deficits caused D3 (extreme) and D4 (exceptional) drought coverage in December that was the largest extent since August 2012. Death Valley recorded a temperature of 130 degrees F - the highest measured temperature globally in decades - while Los Angeles county recorded a record high of 121 degrees F. There were considerable crop and livestock impacts across the West and Central states from both the persistent heat and increasingly dry conditions. The combined drought and heat also assisted in drying out vegetation across the West that contributed to the Western wildfire potential and severity."
Western/Central Drought and Heat Wave (Summer-Fall 2020),Drought,20200601,20201230,5439.1,4495,45,"A record-breaking U.S. wildfire season burned more than 10.2 million acres. California more than doubled its previous annual record for area burned (last set in 2018) with over 4.1 million acres. Five of the top six largest wildfires on record in California (dating to 1932) burned during August and September. The August Complex was the largest California wildfire, which began as 37 separate wildfires within the Mendocino National Forest, set off after storms caused >10,000 lightning strikes across Northern California. Approximately 10,500 structures were damaged or destroyed across California. Oregon also had historic levels of wildfire damage, as over 2,000 structures burned. These wildfires spread rapidly and destroyed several small towns in California, Oregon and Washington. Colorado also had a severe wildfire season, as its three largest wildfires on record burned during 2020. Dense wildfire smoke also produced hazardous air quality that affected millions of people that also included major cities for weeks. Hundreds of additional wildfires also burned across other Western states."
California Flooding and Severe Weather (January 2021),Flooding,20210124,20210129,1314,1095,2,"California was impacted by an atmospheric river in late-January, in which more than 7 inches of rain fell from southern California to the central California coast. Rainfall totals exceeded 15 inches in Monterey and San Luis Obispo counties. These heavy rains caused flooding and mudslides in some of the same areas burned by wildfires in late-2020. This combination caused dozens of slides and debris flows damaging homes, vehicles and businesses and infrastructure. Highway 1 south of Big Sur was washed out while the Sierra Nevada range received several feet of snow, closing major highways. In addition to significant rain and snow, high winds also caused extensive power outages across parts the region."
"Northwest, Central, Eastern Winter Storm and Cold Wave (February 2021)",Winter Storm,20210210,20210219,27223.2,22686,262,"Historic cold wave and winter storm impacts many northwest, central and eastern states. Temperature departures exceeding 40.0 degrees F (22.2 degrees C) below normal occurred from Nebraska southward to Texas. The prolonged arctic air caused widespread power outages in Texas, as well as other southern states, with multiple days of sustained below-freezing temperatures. At the peak of the outage, nearly 10 million people were without power. Additional impacts were frozen water pipes, which burst upon thawing causing water damage to buildings. These extreme conditions also caused or contributed to the direct and indirect deaths of more than 210 people in Texas alone. This count does not include excess mortality that may be hundreds of additional deaths. There were also snow and ice impacts across numerous states including Oklahoma, Arkansas, Missouri, Illinois, Kentucky, Tennessee, Louisiana, Mississippi, Colorado, Oregon and Washington. This is now the costliest U.S. winter storm event on record, more than doubling the inflation-adjusted cost of the 'Storm of the Century' that occurred in March 1993."
Southeast Tornadoes and Severe Weather (March 2021),Severe Storm,20210324,20210325,1995.8,1677,6,"At least 41 tornadoes impact several states including Kentucky, Tennessee, Mississippi, Alabama and Georgia. These included one EF-4, four EF-3s, ten EF-2s and approximately two-dozen EF-1 or EF-0 tornadoes. The strongest of these tornadoes were focused across central Alabama and western Georgia with tracks across the entire width of Alabama. There was widespread damage to homes, businesses, vehicles and infrastructure."
Eastern Severe Weather (March 2021),Severe Storm,20210327,20210328,1601.9,1346,8,"Severe weather producing hail, high wind and more than two dozen tornadoes impacted numerous states including Arkansas, Alabama, Georgia, Mississippi, South Carolina, North Carolina and Virginia. Tennessee was also affected with significant flooding in Nashville and surrounding areas that damaged businesses, homes and vehicles. There were also many high wind damage reports across Pennsylvania, Maryland and New Jersey."
Texas Hail Storms (April 2021),Severe Storm,20210412,20210415,1755.3,1475,0,"A series of hail storms impacted central Texas causing damage to many homes, vehicles and businesses. There was considerable hail damage northeast of Austin, west of Georgetown and southwest of The Woodlands."
Texas and Oklahoma Severe Weather (April 2021),Severe Storm,20210427,20210428,3747.4,3149,0,"Severe weather including tornadoes, high wind, localized flooding and large hail cause widespread impacts across central Texas and Oklahoma. There was considerable damage across Texas and Oklahoma to many homes, vehicles and businesses particularly from hail storms. Several of the more impacted areas include west of San Antonio, north of Fort Worth, and southwest of San Marcos."
Southern Tornadoes and Southeast Severe Weather (May 2021),Severe Storm,20210502,20210504,1479.1,1264,4,"Tornadoes and severe storms with widespread high wind and large hail cause damage across many Southern and Southeastern states including Mississippi, Texas, Arkansas, Alabama, Georgia, South Carolina, North Carolina, and Tennessee. There were over 111 confirmed tornadoes largely clustered in central Mississippi and surrounding states."
Louisiana Flooding (May 2021),Flooding,20210517,20210518,1569.6,1319,5,"Torrential rainfall from thunderstorms across Louisiana and coastal Texas caused widespread flooding and resulted in hundreds of water rescues. Baton Rouge and Lake Charles experienced flood damage to thousands of homes, vehicles and businesses, as more than 12 inches of rain fell. Lake Charles also continues to recover from the widespread damage caused by Hurricanes Laura and Delta less than 9 months before this flood event."
Ohio Valley Hail Storms (June 2021),Severe Storm,20210617,20210618,1980.1,1707,0,"Damaging hail storm and high wind impacts across several states including Ohio, Illinois, Indiana, Michigan, Wisconsin, Minnesota, Iowa and Missouri. The hail impacts were most severe in southeastern Minnesota, southern Iowa, southeastern Indiana and southwestern Ohio, with damage to many homes, vehicles and businesses."
Central Severe Storms (June 2021),Severe Storm,20210624,20210626,1453.6,1253,0,"A combination of thunderstorm high winds, hail and tornadoes affected numerous Central states. The states most affected included Michigan, Illinois, Indiana, Ohio, Missouri, Kansas and Texas with damage to homes, businesses, vehicles and agriculture."
Tropical Storm Elsa (July 2021),Tropical Cyclone,20210707,20210709,1395.3,1213,1,"Tropical Storm Elsa made landfall in Taylor County, Florida producing heavy rain, wind, flooding and tornadoes in portions of Florida, Georgia and the Carolinas, as well as flooding across parts of the Northeast. Southern New England and New York's Long Island experienced flash flooding, leading to impassable roads, stranded vehicles and disruption. Elsa was the earliest fifth-named storm on record."
Central Severe Storms (July 2021),Severe Storm,20210708,20210711,1242.2,1080,0,"Severe storms caused considerable hail damage across numerous Central states including Missouri, Nebraska, Iowa, South Dakota, North Dakota, New Mexico and Texas. There was also widespread high wind damage to homes, vehicles and businesses in many other surrounding states."
North Central Severe Weather (August 2021),Severe Storm,20210810,20210813,1476.9,1284,2,"Widespread high wind impacts across numerous North Central states including Illinois, Michigan, Wisconsin, Indiana, Ohio and Missouri. This multi-day event caused damage to infrastructure, homes, vehicles and businesses."
Tropical Storm Fred (August 2021),Tropical Cyclone,20210816,20210818,1468.9,1277,7,"Tropical Storm Fred made landfall near Panama City, Florida. As Fred progressed northward it caused torrential flooding across the southern Appalachian Mountains with more than a foot of rainfall reported in some locations of western North Carolina. This flash flooding caused damage to many homes, businesses, vehicles, roads and bridges, in additional to several fatalities. Fred also produced nearly a dozen tornadoes across the Northeast as it moved up the East Coast."
Hurricane Ida (August 2021),Tropical Cyclone,20210829,20210901,84608.1,73572,96,"Category 4 Hurricane Ida made landfall near Port Fourchon, Louisiana with maximum sustained winds of 150 mph (240km/h) and a minimum central pressure of 930 mb. Ida was one of three hurricanes in recorded history to make landfall in Louisiana with 150 mph winds, along with Hurricane Laura in 2020 and the 'Last Island' hurricane of 1856. Grand Isle, Louisiana took a direct hit with 100% of its homes damaged and nearly 40% were nearly-to-completely destroyed. There was heavy damage to the energy infrastructure across southern Louisiana causing widespread, long duration power outages to millions of people. Parts of New Orleans were without power for nearly a week due to the widespread damage. As the remnants of Ida moved into the Northeast it merged with a frontal system creating severe weather and flash flooding across a wide region from eastern Pennsylvania to New York. Flash flood emergencies were declared in New Jersey and New York for the first time, producing damage to homes, businesses, vehicles and infrastructure while also causing dozens of fatalities."
Hurricane Nicholas (September 2021),Tropical Cyclone,20210914,20210918,1168.5,1016,0,"Category 1 Hurricane Nicholas made landfall near Sargent Beach, Texas on September 14 and moved slowly toward Louisiana over the next several days. This slow progression helped to produce flooding rainfall across regions of the Gulf Coast that were already saturated from Hurricane Ida."
